educ,economycode,pop_adult,wgt,female,age,inc_q,emp_in,urbanicity,account,borrowed,saved,receive_wages,receive_transfers,receive_pensions,pay_utilities,fin19,fin22a,fin24a,fin24c,fh2a,fh1,fh2,fin37,fin38,fin42,internet_use,con1,Income group
2.0,KEN,34616135,1.01682384423077,2,20,3.0,1.0,1.0,1,1.0,1.0,1.0,4.0,4.0,4.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,0,1,Lower middle income
2.0,TZA,38155970,1.07316156977024,1,18,4.0,1.0,1.0,1,0.0,0.0,4.0,4.0,4.0,4.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1,1,Lower middle income
2.0,LSO,1504222,1.07154139094781,2,28,,1.0,1.0,1,0.0,1.0,1.0,4.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,0,1,Lower middle income
2.0,MAR,27893979,0.355966777498505,2,32,5.0,1.0,1.0,0,1.0,0.0,4.0,4.0,4.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1,1,Lower middle income
2.0,CIV,18301587,0.392164299154038,1,30,2.0,1.0,1.0,1,1.0,1.0,4.0,4.0,4.0,2.0,2.0,2.0,,1.0,2.0,1.0,1.0,2.0,2.0,2.0,0,1,Lower middle income
1.0,ALB,2278004,2.24090336491898,2,48,2.0,2.0,2.0,1,1.0,0.0,4.0,4.0,4.0,2.0,2.0,1.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1,1,Upper middle income
2.0,BOL,8553476,0.858606887052288,1,44,4.0,1.0,2.0,1,1.0,1.0,4.0,4.0,4.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,1,Lower middle income
2.0,MEX,97411242,0.310720917730264,1,30,3.0,2.0,1.0,1,1.0,1.0,4.0,4.0,4.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1,1,Upper middle income
2.0,MLI,12725942,0.471988080691488,1,23,5.0,1.0,1.0,1,1.0,1.0,4.0,4.0,4.0,4.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0,1,Low income
2.0,IND,1077731602,0.3480287976122,1,28,4.0,2.0,1.0,1,0.0,1.0,4.0,3.0,4.0,4.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1,1,Lower middle income
2.0,MUS,1070318,0.486450256361877,1,37,1.0,1.0,2.0,1,1.0,0.0,,,,,2.0,2.0,1.0,1.0,,,,,,,1,1,Upper middle income
3.0,UKR,32338724,0.255171247753799,1,40,2.0,1.0,2.0,1,0.0,1.0,,,,,2.0,2.0,3.0,2.0,,,,,,,1,1,Upper middle income
2.0,PRY,4874331,1.91993370323449,2,34,4.0,1.0,2.0,0,1.0,0.0,2.0,4.0,4.0,4.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1,1,Upper middle income
2.0,CMR,16524096,0.464332646459925,1,28,5.0,2.0,2.0,1,1.0,1.0,4.0,4.0,4.0,4.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1,1,Lower middle income
1.0,THA,60882768,0.288872144749949,1,64,1.0,2.0,2.0,1,0.0,0.0,4.0,1.0,1.0,4.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,0,1,Upper middle income
2.0,XKX,1382360,1.5273775935778,1,18,2.0,1.0,2.0,1,0.0,0.0,1.0,4.0,4.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,1,Upper middle income
1.0,IND,1077731602,1.15456128192795,2,73,1.0,1.0,1.0,1,1.0,0.0,4.0,1.0,1.0,4.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,0,2,Lower middle income
